unique_id,fam_default,fam_with a family,gender_default,gender_gender nonconforming person,gender_man,gender_woman,income_default,income_holding a Section 8 voucher,race_Hawaiian,race_Hispanic,race_Native American,race_asian,race_black,race_default,race_white,rentbuy_buy,rentbuy_rent,sexuality_LGBT,sexuality_default,sexuality_straight,est_white_perc,est_black_perc,est_native_perc,est_asian_perc,est_islander_perc,est_hispanic_perc,neighopp_idx
152,0.6069868995633187,0.3930131004366812,0.3275109170305676,0.131004366812227,0.3056768558951965,0.2358078602620087,0.1659388646288209,0.834061135371179,0.1528384279475982,0.148471615720524,0.1441048034934497,0.1703056768558952,0.1048034934497816,0.1615720524017467,0.1179039301310043,0.3231441048034934,0.6768558951965066,0.0917030567685589,0.4235807860262008,0.4847161572052402,0.0505737454060498,0.0086280196227772,0.0,0.0011914443907732,0.0,0.9396067905803996,-1.9895747120986176
221,0.7272727272727273,0.2727272727272727,0.4545454545454545,0.0,0.1818181818181818,0.3636363636363636,0.8181818181818182,0.1818181818181818,0.3636363636363636,0.0909090909090909,0.0,0.0,0.0,0.1818181818181818,0.3636363636363636,0.3636363636363636,0.6363636363636364,0.0909090909090909,0.6363636363636364,0.2727272727272727,0.3823643410852713,0.0193798449612403,0.0017441860465116,0.0327519379844961,0.0,0.5521317829457364,-1.1959416385849528
223,0.3181818181818182,0.6818181818181818,0.0454545454545454,0.6818181818181818,0.1136363636363636,0.1590909090909091,0.7272727272727273,0.2727272727272727,0.2272727272727272,0.0454545454545454,0.0454545454545454,0.1136363636363636,0.25,0.0681818181818181,0.25,0.6363636363636364,0.3636363636363636,0.3181818181818182,0.3863636363636363,0.2954545454545454,0.4420529290287106,0.0394826125382906,0.0007022425331134,0.0153513720274896,3.520570504873001e-05,0.4774291994178278,-1.513327689840458
261,0.6504854368932039,0.3495145631067961,0.1796116504854369,0.4757281553398058,0.1844660194174757,0.1601941747572815,0.5,0.5,0.1650485436893204,0.1067961165048543,0.1067961165048543,0.1407766990291262,0.1699029126213592,0.174757281553398,0.1359223300970873,0.470873786407767,0.529126213592233,0.7961165048543689,0.116504854368932,0.087378640776699,0.2050230753205514,0.0151382378961272,0.0,0.0021759169560572,0.0,0.7629367604948151,-2.241340797364596
264,0.7333333333333333,0.2666666666666666,0.2666666666666666,0.0666666666666666,0.4,0.2666666666666666,0.3333333333333333,0.6666666666666666,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.5,0.5,0.0,0.5333333333333333,0.4666666666666667,0.1499292425348976,0.0137354654534319,0.0,0.0070950880934392,0.0,0.8231010839277219,-4.970643835236735
277,0.2157534246575342,0.7842465753424658,0.2842465753424658,0.071917808219178,0.2979452054794521,0.3458904109589041,0.1712328767123287,0.8287671232876712,0.1780821917808219,0.1061643835616438,0.1404109589041096,0.1404109589041096,0.160958904109589,0.1335616438356164,0.1404109589041096,0.5753424657534246,0.4246575342465753,0.0171232876712328,0.4623287671232877,0.5205479452054794,0.2227324196599773,0.0510297548154891,0.000230214048631,0.0168867267777965,0.0061368504470573,0.6886143099420223,4.333956845137983
286,0.5084621044885945,0.4915378955114054,0.1714495952906549,0.4863870493009566,0.1640912435614422,0.1780721118469463,0.6217807211184695,0.3782192788815305,0.1486387049300956,0.1898454746136865,0.1471670345842531,0.1243561442236939,0.1479028697571744,0.1287711552612215,0.1133186166298749,0.5047829286239882,0.4952170713760118,0.6475349521707138,0.1949963208241354,0.1574687270051508,0.2813703628623555,0.0,0.0,0.0,0.0,0.7016014595580783,3.040506959093748
289,0.3065134099616858,0.6934865900383141,0.2231800766283525,0.3486590038314176,0.2059386973180076,0.2222222222222222,0.3726053639846743,0.6273946360153256,0.0938697318007662,0.2796934865900383,0.1695402298850574,0.1178160919540229,0.1408045977011494,0.1130268199233716,0.0852490421455938,0.4042145593869732,0.5957854406130269,0.7471264367816092,0.1484674329501915,0.1044061302681992,0.0954916892665912,0.0047801492639246,0.0003519604336834,0.0044718605709801,0.0,0.8947375838870558,-1.890165681211387
313,0.5906976744186047,0.4093023255813953,0.163953488372093,0.4965116279069767,0.1709302325581395,0.1686046511627907,0.6806201550387597,0.3193798449612403,0.1383720930232558,0.1484496124031007,0.1356589147286821,0.1271317829457364,0.1201550387596899,0.1755813953488372,0.1546511627906976,0.5182170542635659,0.4817829457364341,0.6821705426356589,0.1748062015503876,0.1430232558139534,0.1948231503515023,0.014705363044639,0.0,0.0217057746353773,0.0,0.7549646571832976,0.0653974501330825
314,0.5783034257748777,0.4216965742251223,0.2210440456769983,0.3561174551386623,0.2171288743882544,0.2057096247960848,0.7424143556280587,0.2575856443719412,0.1448613376835236,0.1556280587275693,0.1448613376835236,0.1275693311582381,0.1094616639477977,0.1636215334420881,0.1539967373572593,0.4918433931484502,0.5081566068515497,0.5755301794453508,0.2210440456769983,0.2034257748776509,0.4573333333333333,0.008,0.0,0.0186666666666666,0.0,0.4902222222222222,2.526505891288998
317,0.52,0.48,0.22,0.2,0.2,0.38,0.8,0.2,0.08,0.14,0.24,0.14,0.04,0.18,0.18,0.62,0.38,0.24,0.26,0.5,0.3036926362409855,0.0189311283716459,0.0075426784967843,0.005690385350331,0.0028285058333276,0.6599549914337031,1.55656500827948
319,0.5437197379663914,0.4562802620336086,0.1896895471375676,0.4480205069780689,0.185986898319567,0.1763030475647963,0.5615209342067787,0.4384790657932213,0.1438336656223298,0.1445457134719453,0.1314440330390202,0.1399886072344061,0.1348618627171746,0.1575049843349473,0.1478211335801766,0.5011392765593848,0.4988607234406152,0.7388208487610367,0.1519510111079464,0.1092281401310168,0.3580945155732061,0.0397869405893717,0.0018054259090406,0.007922614486127,0.0035950797493969,0.5564120390299553,0.6642255570581986
320,0.5441176470588235,0.4558823529411764,0.1595022624434389,0.4864253393665158,0.1923076923076923,0.1617647058823529,0.5509049773755657,0.4490950226244344,0.0644796380090497,0.1199095022624434,0.1380090497737556,0.0927601809954751,0.3800904977375565,0.0972850678733031,0.1074660633484163,0.5723981900452488,0.4276018099547511,0.504524886877828,0.3065610859728507,0.1889140271493212,0.2826586936522539,0.077506899724011,0.0,0.0094296228150873,0.0,0.6055657773689053,-6.234663254520631
