unique_id,fam_default,fam_with a family,gender_default,gender_gender nonconforming person,gender_man,gender_woman,income_default,income_holding a Section 8 voucher,race_Hawaiian,race_Hispanic,race_Native American,race_asian,race_black,race_default,race_white,rentbuy_buy,rentbuy_rent,sexuality_LGBT,sexuality_default,sexuality_straight,est_white_perc,est_black_perc,est_native_perc,est_asian_perc,est_islander_perc,est_hispanic_perc,neighopp_idx
3,0.7619047619047619,0.238095238095238,0.3333333333333333,0.119047619047619,0.3095238095238095,0.238095238095238,0.9285714285714286,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.119047619047619,0.0238095238095238,0.0238095238095238,0.2619047619047619,0.2857142857142857,0.5476190476190477,0.4523809523809524,0.0714285714285714,0.5,0.4285714285714285,0.3258045484511928,0.0062728568999002,0.012264246662015,0.2359526567642973,0.0,0.377471508065304,-0.6084123939591837
4,0.5443592552026287,0.4556407447973713,0.3220153340635268,0.0821467688937568,0.2825848849945235,0.3132530120481928,0.5268346111719606,0.4731653888280394,0.036144578313253,0.0394304490690032,0.0372398685651697,0.0328587075575027,0.7897042716319824,0.0328587075575027,0.0317634173055859,0.4753559693318729,0.524644030668127,0.1467688937568455,0.4852135815991237,0.3680175246440306,0.0825089889249518,0.5438138080937891,0.0009845159138977,0.0514206793425552,0.0005870351460504,0.2937656859729536,-0.0727710031237577
5,0.9347826086956522,0.0652173913043478,0.25,0.0,0.4021739130434782,0.3478260869565217,1.0,0.0,0.1413043478260869,0.0,0.0434782608695652,0.0652173913043478,0.0434782608695652,0.4021739130434782,0.3043478260869565,0.7717391304347826,0.2282608695652173,0.0,0.5978260869565217,0.4021739130434782,0.7560644244581548,0.0160875962308571,5.8282465374881855e-05,0.083610349805843,2.258393679893597e-05,0.0590584267624057,7.393905305886879
9,0.5697674418604651,0.4302325581395348,0.3520084566596194,0.1152219873150105,0.2854122621564482,0.2473572938689217,0.4883720930232558,0.5116279069767442,0.0190274841437632,0.8298097251585623,0.0517970401691331,0.0126849894291754,0.0126849894291754,0.0412262156448203,0.0327695560253699,0.4714587737843552,0.5285412262156448,0.1902748414376321,0.4820295983086681,0.3276955602536998,0.0230802048853576,0.0132556357111642,0.0005739462940964,0.0253088495913553,1.360039088854957e-05,0.9315520500975748,-5.799127908478099
10,0.6355555555555555,0.3644444444444444,0.2888888888888888,0.0,0.3288888888888889,0.3822222222222222,1.0,0.0,0.1377777777777777,0.0444444444444444,0.0844444444444444,0.0844444444444444,0.0533333333333333,0.2933333333333333,0.3022222222222222,0.7244444444444444,0.2755555555555555,0.0,0.4755555555555555,0.5244444444444445,0.7791964590248834,0.0136694074050287,0.001199437395235,0.0706417455378829,1.939633210050938e-06,0.0829696171583691,8.023695594516022
12,0.3851351351351351,0.6148648648648649,0.3243243243243243,0.0,0.3175675675675675,0.3581081081081081,0.027027027027027,0.972972972972973,0.0945945945945946,0.1689189189189189,0.1959459459459459,0.0878378378378378,0.1081081081081081,0.2027027027027027,0.1418918918918918,0.4594594594594595,0.5405405405405406,0.0067567567567567,0.5405405405405406,0.4527027027027027,0.2241193067035982,0.0538468793959438,0.0025385654352057,0.1383053690058407,0.0003038375376176,0.556147999724557,-1.653248666869779
15,0.8666666666666667,0.1333333333333333,0.6,0.0,0.2,0.2,1.0,0.0,0.0666666666666666,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.2666666666666666,0.2666666666666666,0.5333333333333333,0.4666666666666667,0.0,0.6,0.4,0.6936339795846546,0.0283521324354611,7.103260797115456e-05,0.1787192550033798,0.0004232854465867,0.0604663024243489,6.030995356718044
16,0.1590909090909091,0.8409090909090909,0.2954545454545454,0.0227272727272727,0.3409090909090909,0.3409090909090909,0.4090909090909091,0.5909090909090909,0.25,0.0227272727272727,0.4545454545454545,0.0909090909090909,0.0227272727272727,0.0909090909090909,0.0681818181818181,0.5227272727272727,0.4772727272727273,0.0,0.4545454545454545,0.5454545454545454,0.4103732772299816,0.0842740624610881,0.0019419921483235,0.1873921345539602,0.0010106292714766,0.2662001339333288,5.244451597956879
19,0.36,0.64,0.36,0.0,0.32,0.32,1.0,0.0,0.08,0.0,0.12,0.24,0.12,0.24,0.2,0.76,0.24,0.0,0.48,0.52,0.670397856282521,0.0139511457382572,2.8982365130399086e-08,0.1198325347027218,6.103419985741312e-05,0.1122751041184496,7.974795348574553
20,0.7681159420289855,0.2318840579710145,0.463768115942029,0.0579710144927536,0.3115942028985507,0.1666666666666666,0.2826086956521739,0.717391304347826,0.0217391304347826,0.0,0.0072463768115942,0.8985507246376812,0.0,0.0507246376811594,0.0217391304347826,0.391304347826087,0.6086956521739131,0.1376811594202898,0.5434782608695652,0.3188405797101449,0.142908872788093,0.1537102890723182,0.0047211738416761,0.3235335762233299,0.0016174032166646,0.3361867046532537,-5.062613586360851
22,0.9199288256227758,0.0800711743772242,0.3202846975088968,0.0017793594306049,0.3309608540925267,0.3469750889679715,0.998220640569395,0.0017793594306049,0.2580071174377224,0.0302491103202846,0.0640569395017793,0.1156583629893238,0.0516014234875444,0.2295373665480427,0.2508896797153025,0.5195729537366548,0.4804270462633452,0.0,0.4377224199288256,0.5622775800711743,0.3838210563217644,0.0378820085822972,3.616085561630071e-06,0.1434910070590192,1.1358995741510412e-05,0.3803946655770919,2.5926979108876576
23,0.8493810178817056,0.1506189821182943,0.2209995414947272,0.3502980284273269,0.2313159101329665,0.1973865199449793,0.7934433745988079,0.2065566254011921,0.1265474552957359,0.1281522237505731,0.1304447501146263,0.1666666666666666,0.1263182026593305,0.1728564878496102,0.1490142136634571,0.4963319578175149,0.5036680421824851,0.4589637780834479,0.2620357634112792,0.2790004585052728,0.2486809816649818,0.1691747600910076,0.0041463406414439,0.2517737586569918,0.002355320319648,0.2739180821761517,-1.0301426753219938
24,0.4078674948240166,0.5921325051759835,0.2608695652173913,0.1884057971014492,0.2815734989648033,0.2691511387163561,0.6728778467908902,0.3271221532091097,0.0993788819875776,0.2132505175983436,0.3830227743271222,0.082815734989648,0.0476190476190476,0.0869565217391304,0.0869565217391304,0.5631469979296067,0.4368530020703933,0.1325051759834368,0.4430641821946169,0.4244306418219462,0.3142869343625711,0.0194148752737465,0.0018788585901099,0.2557667285900938,0.0006115112643044,0.3466916340590085,2.176807593474692
25,0.9375,0.0625,0.25,0.5625,0.0625,0.125,0.375,0.625,0.0,0.3125,0.3125,0.1875,0.0,0.0625,0.125,0.375,0.625,0.625,0.0625,0.3125,0.2320881222435701,0.0345666580777616,0.0013909740773518,0.1626545732331465,0.0015211258773663,0.5440894386330847,-3.8076229963905366
26,0.5928197265874536,0.4071802734125463,0.1962437715599846,0.4130573655295771,0.1902389165708445,0.2004599463395937,0.6452025041522933,0.3547974958477066,0.1364507474128018,0.1649418678931902,0.1444998083556918,0.1312124696563179,0.1322345726331928,0.1459051999488948,0.1447553340999105,0.469400792129807,0.5305992078701929,0.5458029896512073,0.2348281589370129,0.2193688514117797,0.2954401243963885,0.0285308635172453,0.002460443013464,0.1350267178478149,0.0017351738247674,0.4947142967183148,-1.9712944048694412
27,0.4408602150537634,0.5591397849462365,0.3655913978494624,0.043010752688172,0.3010752688172043,0.2903225806451613,0.1075268817204301,0.8924731182795699,0.075268817204301,0.3655913978494624,0.1075268817204301,0.086021505376344,0.053763440860215,0.1935483870967742,0.1182795698924731,0.3548387096774194,0.6451612903225806,0.021505376344086,0.6129032258064516,0.3655913978494624,0.0789575321040417,0.0194623904149573,0.0012558925014031,0.1191694567826345,1.2211606653497267e-09,0.7649524441728521,-1.929429747930844
30,0.4073226544622426,0.5926773455377574,0.3054919908466819,0.0480549199084668,0.3329519450800915,0.3135011441647597,0.7906178489702517,0.2093821510297482,0.1853546910755149,0.1418764302059496,0.1464530892448512,0.0881006864988558,0.0709382151029748,0.1693363844393592,0.1979405034324942,0.6006864988558352,0.3993135011441647,0.0480549199084668,0.3798627002288329,0.5720823798627003,0.729665402994332,0.0249132151211216,0.0014166530488541,0.0569878315848185,0.0003760993760377,0.1329448954156162,3.599477280635966
32,0.8666666666666667,0.1333333333333333,0.1666666666666666,0.0666666666666666,0.4333333333333333,0.3333333333333333,0.9,0.1,0.2666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3666666666666666,0.1666666666666666,0.6333333333333333,0.3666666666666666,0.0666666666666666,0.5333333333333333,0.4,0.7081640241517694,0.028832606851774,0.0021887993343091,0.1228346995772034,3.2119977191463475e-08,0.0944918454621432,1.9171192307657867
36,0.1756756756756756,0.8243243243243243,0.2567567567567567,0.0135135135135135,0.3918918918918919,0.3378378378378378,0.081081081081081,0.918918918918919,0.0945945945945946,0.1351351351351351,0.2162162162162162,0.1081081081081081,0.1351351351351351,0.1621621621621621,0.1486486486486486,0.4864864864864865,0.5135135135135135,0.0,0.5540540540540541,0.4459459459459459,0.4332458219721083,0.0299457790398506,0.0015387088738197,0.1750341901136694,0.0007346443350208,0.3181784624148664,5.010773765703728
39,0.84,0.16,0.24,0.08,0.36,0.32,1.0,0.0,0.24,0.08,0.0,0.0,0.08,0.24,0.36,0.72,0.28,0.0,0.48,0.52,0.6535470707641424,0.0381483097626363,0.0002373093887509,0.1599407257058104,0.0003889609790745,0.1073284565115026,3.251086060949258
41,0.6444444444444445,0.3555555555555555,0.4888888888888889,0.0,0.2666666666666666,0.2444444444444444,0.0,1.0,0.2,0.2222222222222222,0.2,0.0888888888888888,0.0222222222222222,0.1777777777777777,0.0888888888888888,0.4444444444444444,0.5555555555555556,0.0222222222222222,0.6,0.3777777777777777,0.1694832896794525,0.0930466994912827,0.0003707816362176,0.2046056115434176,0.0068924165645819,0.5021162501246629,-3.266144054068113
45,0.5867052023121387,0.4132947976878612,0.3395953757225433,0.1878612716763005,0.2528901734104046,0.2196531791907514,0.7760115606936416,0.2239884393063584,0.065028901734104,0.5,0.2167630057803468,0.0592485549132947,0.0274566473988439,0.0578034682080924,0.0736994219653179,0.5390173410404624,0.4609826589595375,0.0997109826589595,0.5534682080924855,0.3468208092485549,0.1982788978114719,0.0173394556844917,0.0023049259972759,0.1118127840297549,0.0001352047595498,0.6370569233798232,-0.6289477092334895
47,0.9141630901287554,0.0858369098712446,0.2918454935622318,0.1266094420600858,0.334763948497854,0.2467811158798283,0.8240343347639485,0.1759656652360515,0.1287553648068669,0.0708154506437768,0.0987124463519313,0.1158798283261802,0.1030042918454935,0.2939914163090129,0.1888412017167382,0.4399141630901287,0.5600858369098712,0.2446351931330472,0.3326180257510729,0.4227467811158798,0.4335297096681534,0.0718385300287875,0.003343409930315,0.0884664492011435,0.0006639491821718,0.3521128229951162,-2.9344509060382458
49,0.5582801477997985,0.4417198522002015,0.1857574739670809,0.435561527264584,0.1902362557384391,0.1884447430298958,0.569253163139626,0.4307468368603739,0.1464561639234128,0.131004366812227,0.133579666330758,0.138618295823536,0.1307804277236591,0.1617959914903146,0.1577650878960922,0.4962490202664875,0.5037509797335125,0.6201993057888254,0.1909080730041428,0.1888926212070316,0.7468329394905646,0.0447438515619169,0.0007295772150067,0.0694454253581099,0.0009639319922222,0.0746998530849252,5.051268519780366
52,0.6557982159335589,0.3442017840664411,0.2433097508458935,0.2725315287603814,0.2390033835742848,0.2451553368194401,0.287603814211012,0.712396185788988,0.1307290064595509,0.1079667794524761,0.1547216241156567,0.2756075053829591,0.1098123654260227,0.1104275607505382,0.110735158412796,0.2989849277145494,0.7010150722854507,0.283605044601661,0.3503537373115964,0.3660412180867425,0.0979704800641177,0.0535894420989714,0.0033746683716987,0.3652284789291736,0.0018604778466708,0.4504923639045104,-3.9465730522716327
53,0.2352941176470588,0.7647058823529411,0.2352941176470588,0.0588235294117647,0.2941176470588235,0.4117647058823529,0.0588235294117647,0.9411764705882352,0.1764705882352941,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.1764705882352941,0.7058823529411765,0.2941176470588235,0.0,0.4117647058823529,0.5882352941176471,0.3590169839351648,0.0456118584243173,4.232325504461688e-06,0.0814293394969657,0.0,0.4543759342576938,2.2939435277553377
55,0.4827586206896552,0.5172413793103449,0.2413793103448276,0.0689655172413793,0.3448275862068966,0.3448275862068966,1.0,0.0,0.1379310344827586,0.0344827586206896,0.1379310344827586,0.0344827586206896,0.0344827586206896,0.2758620689655172,0.3448275862068966,0.5517241379310345,0.4482758620689655,0.0,0.5517241379310345,0.4482758620689655,0.3875016643102434,0.0512157041232222,0.0102522941185673,0.2269545281828127,0.0,0.2619614929075793,0.4063889870451871
56,0.4708121827411167,0.5291878172588832,0.2741116751269035,0.233502538071066,0.2360406091370558,0.2563451776649746,0.7106598984771574,0.2893401015228426,0.0038071065989847,0.0,0.0253807106598984,0.0,0.9619289340101524,0.0063451776649746,0.0025380710659898,0.5101522842639594,0.4898477157360406,0.2753807106598985,0.4390862944162436,0.2855329949238578,0.0604119889455139,0.6203144734386726,0.0,0.0200506639135788,0.0009462571007244,0.2775516947606077,-2.6054791510819357
58,0.5386201724784402,0.4613798275215598,0.186726659167604,0.427071616047994,0.1974128233970753,0.1887889013873266,0.8102737157855268,0.1897262842144731,0.1479190101237345,0.1316085489313835,0.1162354705661792,0.1421072365954255,0.11323584551931,0.1803524559430071,0.1685414323209599,0.5249343832020997,0.4750656167979002,0.6649793775778028,0.1717285339332583,0.1632920884889389,0.6337280006118572,0.0242196002138841,0.0019554833099068,0.1192079047528504,0.0016649946604788,0.1777138350355544,1.8213722484690933
60,0.3715277777777778,0.6284722222222222,0.3333333333333333,0.0833333333333333,0.3194444444444444,0.2638888888888889,0.53125,0.46875,0.1840277777777778,0.0625,0.1944444444444444,0.1180555555555555,0.0486111111111111,0.1805555555555555,0.2118055555555555,0.4201388888888889,0.5798611111111112,0.1527777777777778,0.3819444444444444,0.4652777777777778,0.5091013637971973,0.0439444460483148,0.0028184475501788,0.1356851064541089,0.0020291066660243,0.2493698968745921,3.250545578676247
61,0.6428571428571429,0.3571428571428571,0.2439353099730458,0.3045822102425876,0.2358490566037736,0.215633423180593,0.4460916442048517,0.5539083557951483,0.0808625336927223,0.068733153638814,0.1159029649595687,0.0673854447439353,0.477088948787062,0.0876010781671159,0.1024258760107816,0.4097035040431266,0.5902964959568733,0.1994609164420485,0.3908355795148248,0.4097035040431266,0.1980544266149189,0.202454182279667,0.0021138902059417,0.0705227392888624,0.0006749805388091,0.4804526059403303,-0.8777314712089145
62,0.7220956719817767,0.2779043280182232,0.2186788154897494,0.2255125284738041,0.2505694760820046,0.3052391799544419,0.5353075170842825,0.4646924829157175,0.1047835990888382,0.061503416856492,0.164009111617312,0.0956719817767653,0.3804100227790433,0.0979498861047836,0.0956719817767653,0.2915717539863325,0.7084282460136674,0.2346241457858769,0.296127562642369,0.4692482915717539,0.4145929730898424,0.1188258584680885,0.0007094876955294,0.2356449136150895,0.0004451916100966,0.1678720551140302,0.8284462124711657
